	tsne1	tsne2	tsne3	cluster
0	56.119587	58.436615	3.8751395	2
1	39.798027	66.64062	22.980347	2
2	25.765162	55.383446	30.379305	2
3	-30.075611	93.26504	-17.023685	6
4	-43.9668	80.19117	44.001923	1
5	-47.593506	-54.862316	28.379717	3
6	-24.539616	-75.13712	9.774643	3
7	-36.979935	-80.487404	29.92708	3
8	-20.99777	-43.378723	31.748299	3
9	-26.047615	-94.93061	34.237953	3
10	-56.53699	-69.01369	1.6181346	3
11	-72.72338	-61.564003	-25.710447	3
12	-35.588413	-91.71878	-12.423967	3
13	-61.94667	-57.79254	-8.878305	3
14	-20.805342	-54.812904	37.60877	3
15	-24.567753	-80.60723	28.44674	3
16	-36.381374	-47.231197	33.300385	3
17	-34.81355	-39.922535	-12.644592	3
18	-20.636648	-65.41307	7.2229095	3
19	-19.321695	-57.42167	28.308617	3
20	-26.971813	-74.306	52.861794	3
21	-41.12333	23.43082	-65.27561	5
22	8.883115	-62.27686	15.022055	3
23	-26.06379	-70.70007	60.86531	3
24	-51.073196	-60.060677	-27.943186	3
25	-23.396036	-42.3582	41.7531	3
26	-33.7464	-49.898857	-46.723423	5
27	-26.529139	17.149115	-44.823246	5
28	-3.3376899	-38.039513	42.06958	4
29	-5.409417	-66.37634	53.051357	3
30	-39.45001	-53.290565	61.146866	3
31	-18.608658	-68.51422	35.45375	3
32	-28.117037	-69.661316	-30.223444	3
33	70.24335	0.53430676	4.8696213	2
34	71.562645	18.745245	13.230437	2
35	37.993275	36.224987	6.249003	2
36	30.028372	19.764278	-26.591412	0
37	63.10668	-2.7718368	56.518826	4
38	66.14894	43.709835	-41.722275	0
39	74.23573	4.3059998	24.016674	2
40	21.103128	38.83435	52.594357	2
41	-46.551003	77.644516	18.093466	6
42	32.91376	38.78782	57.26065	2
43	-13.255578	-21.35631	66.0275	1
44	77.8672	-32.425797	-24.330795	0
45	80.5826	-22.789421	-27.355637	0
46	77.53718	-32.55114	-34.37722	0
